SPX 8/7/2018,NAME,GICS_SECTOR_NAME
DGX UN Equity,QUEST DIAGNOSTICS INC,Health Care
ATVI UW Equity,ACTIVISION BLIZZARD INC,Communication Services
ROK UN Equity,ROCKWELL AUTOMATION INC,Industrials
KHC UW Equity,KRAFT HEINZ CO/THE,Consumer Staples
AMT UN Equity,AMERICAN TOWER CORP,Real Estate
HFC UN Equity,HOLLYFRONTIER CORP,Energy
REGN UW Equity,REGENERON PHARMACEUTICALS,Health Care
AMZN UW Equity,AMAZON.COM INC,Consumer Discretionary
RL UN Equity,RALPH LAUREN CORP,Consumer Discretionary
BXP UN Equity,BOSTON PROPERTIES INC,Real Estate
APH UN Equity,AMPHENOL CORP-CL A,Information Technology
ARNC UN Equity,ARCONIC INC,Industrials
PXD UN Equity,PIONEER NATURAL RESOURCES CO,Energy
VLO UN Equity,VALERO ENERGY CORP,Energy
SNPS UW Equity,SYNOPSYS INC,Information Technology
LLL UN Equity,L3 TECHNOLOGIES INC,Industrials
WU UN Equity,WESTERN UNION CO,Information Technology
CHRW UW Equity,C.H. ROBINSON WORLDWIDE INC,Industrials
TDG UN Equity,TRANSDIGM GROUP INC,Industrials
ACN UN Equity,ACCENTURE PLC-CL A,Information Technology
YUM UN Equity,YUM! BRANDS INC,Consumer Discretionary
PLD UN Equity,PROLOGIS INC,Real Estate
FE UN Equity,FIRSTENERGY CORP,Utilities
VRSN UW Equity,VERISIGN INC,Information Technology
PWR UN Equity,QUANTA SERVICES INC,Industrials
HSIC UW Equity,HENRY SCHEIN INC,Health Care
AEE UN Equity,AMEREN CORPORATION,Utilities
ANSS UW Equity,ANSYS INC,Information Technology
NVDA UW Equity,NVIDIA CORP,Information Technology
SEE UN Equity,SEALED AIR CORP,Materials
CTSH UW Equity,COGNIZANT TECH SOLUTIONS-A,Information Technology
SIVB UW Equity,SVB FINANCIAL GROUP,Financials
ISRG UW Equity,INTUITIVE SURGICAL INC,Health Care
AMG UN Equity,AFFILIATED MANAGERS GROUP,Financials
TTWO UW Equity,TAKE-TWO INTERACTIVE SOFTWRE,Communication Services
RSG UN Equity,REPUBLIC SERVICES INC,Industrials
EBAY UW Equity,EBAY INC,Consumer Discretionary
