Companies,Ticker,PE_Calc,PBV_Calc,IQ_MarketCap,IQ_TOTAL_DEBT_CAPITAL,IQ_NI_NORM_MARGIN,Return on Equity_Calc,IQ_RETURN_ASSETS,IQ_BETA_2YR
Fortive Corporation,NYSE:FTV,41.85205241,3.519083883,25175.2396,46.5271,8.4892,8.487804624,4.5174,1.08039
"Fortune Brands Home & Security, Inc.",NYSE:FBHS,22.52847176,3.882458509,9067.09284,51.8999,7.0982,17.25731105,7.4215,1.30108
Fox Corporation,NasdaqGS:FOXA,16.57582661,2.174676565,22212.38764,41.1143,11.7694,13.36046472,9.1008,0
"Franklin Resources, Inc.",NYSE:BEN,12.26051104,1.306912828,12914.96337,5.7748,18.4444,10.70828491,6.8881,1.17233
Freeport-McMoRan Inc.,NYSE:FCX,120.3486737,1.972771452,18629.73178,36.7103,1.0917,1.616532297,0.8418,1.45739
Garmin Ltd.,NasdaqGS:GRMN,31.789102,4.234787484,18552.15177,1.2686,16.2259,13.68047591,10.2724,0.7743
"Gartner, Inc.",NYSE:IT,81.62013206,15.27335491,14042.3266,77.2281,4.1933,18.34272659,3.7312,1.27731
General Dynamics Corporation,NYSE:GD,20.14692975,3.828961791,51740.76165,53.2664,6.6101,19.44800004,5.9934,1.16132
General Electric Company,NYSE:GE,42.50455268,3.430376184,95807.03253,76.7823,1.8731,7.06977738,1.5297,1.04579
"General Mills, Inc.",NYSE:GIS,19.58186381,4.220548622,31174.63061,64.1162,9.4598,22.00417266,6.2228,0.62148
General Motors Company,NYSE:GM,9.629941357,1.107330281,50350.35013,68.5072,3.5884,11.72756647,1.9483,1.01812
